list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes 
1056,51799,The Decameron,29227,Giovanni Boccaccio,3.88,32900,5833,95
1057,29209,The Color of Water: A Black Man&#39;s Tribute to His White Mother,11728,James   McBride,4.09,103992,5827,81
1058,5479,Brave New World / Brave New World Revisited,3487,Aldous Huxley,4.17,140421,5824,85
1059,28407,Germinal,4750,Émile Zola,4.15,29020,5817,77
1060,9592,Mother Night,2778055,Kurt Vonnegut Jr.,4.2,77916,5787,76
1060,5604848,Destined for an Early Grave,669810,Jeaniene Frost,4.33,78902,5787,80
1060,28009303,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",4014420,Kathleen Zamboni McCormick,4.31,4474,5787,64
1063,18521,A Room of One&#39;s Own,6765,Virginia Woolf,4.16,118259,5772,86
1064,37190,The Tale of Despereaux,13663,Kate DiCamillo,4.04,162093,5761,81
1065,3462,The Rescue,2345,Nicholas Sparks,4.11,168067,5753,79
1066,7042,The Tale of Genji,4739,Murasaki Shikibu,3.72,10476,5748,77
1067,23878,Chronicle of a Death Foretold,13450,Gabriel García Márquez,3.97,127096,5745,82
1068,187020,Empire Falls,7844,Richard Russo,3.93,110551,5737,81
1069,15926,Nights in Rodanthe,2345,Nicholas Sparks,3.84,152446,5726,82
1070,11602,Hearts in Atlantis,3389,Stephen King,3.83,83811,5709,81
1071,16070903,Fallen Too Far,4872191,Abbi Glines,4.18,160773,5708,67
1072,91661,The Beekeeper&#39;s Apprentice,6760,Laurie R. King,4.06,70160,5704,74
1073,3698,The Quiet American,2533,Graham Greene,3.95,50598,5691,91
1074,28877,Red Dragon,12455,Thomas  Harris,4.03,274179,5678,83
1075,4965,Year of Wonders,211268,Geraldine Brooks,4.01,138536,5653,79
1076,232576,Harriet the Spy,2560,Louise Fitzhugh,3.95,95121,5652,87
1077,60792,The Accidental Tourist,457,Anne Tyler,3.9,98335,5643,95
1078,7619,The Time Quartet Box Set,106,Madeleine L&#39;Engle,4.35,11068,5640,69
1079,35220,The Red Badge of Courage,19879,Stephen Crane,3.26,92523,5637,99
1080,9736930,Before I Go to Sleep,4470653,S.J. Watson,3.89,289947,5636,66
1081,29395568,Exotic Neurotic,1808111,Kenneth Jarrett Singleton,4.29,448,5628,57
1082,34897,The Dragon Reborn,6252,Robert Jordan,4.25,214617,5612,73
1083,269322,The Raven and Other Poems,4624490,Edgar Allan Poe,4.3,41584,5602,100
1084,13643567,The Evolution of Mara Dyer,4126827,Michelle Hodkin,4.28,83503,5581,65
1085,44575575,Pleasant Day,1299520,Vera Jane Cook,4.32,5623,5579,64
1086,944073,The Blade Itself,276660,Joe Abercrombie,4.16,165327,5575,66
1087,107291,Needful Things,3389,Stephen King,3.92,210202,5573,81
1088,9067850,The Throne of Fire,15872,Rick Riordan,4.2,162130,5570,77
1089,59960,Batman: The Dark Knight Returns,15085,Frank Miller,4.26,161599,5558,77
1090,72579,Alias Grace,3472,Margaret Atwood,4.03,111047,5557,84
1091,1162022,On the Jellicoe Road,47104,Melina Marchetta,4.13,47208,5532,64
1092,64222,Going Postal,1654,Terry Pratchett,4.37,103787,5528,79
1093,53413,Hopscotch,25824,Julio Cortázar,4.23,30736,5525,67
1094,530965,The Day of the Triffids,36332,John Wyndham,4.02,89879,5521,79
1095,25402194,The Choice,2345,Nicholas Sparks,4.0,152331,5503,78
1096,14662,The Red and the Black,1481537,Stendhal,3.88,56705,5500,76
1097,162085,Pretty Little Liars,93970,Sara Shepard,3.87,184115,5462,72
1098,11594257,Under the Never Sky,4637369,Veronica Rossi,3.99,108561,5455,68
1099,40881621,The Book of Disquiet: The Complete Edition,7816,Fernando Pessoa,4.44,20796,5453,61
1100,11573,The Dead Zone,3389,Stephen King,3.93,181195,5452,90
1100,166997,Stoner,51229,John  Williams,4.29,103061,5452,60
1102,3579,The Complete Anne of Green Gables Boxed Set,5350,L.M. Montgomery,4.43,101390,5428,86
1103,147865,"Love, Rosie",7116,Cecelia Ahern,3.94,104363,5414,65
1104,16634,The Glass Bead Game,1113469,Hermann Hesse,4.12,31744,5413,72
1105,2985500,"Night World, No. 2",50873,L.J. Smith,4.2,56926,5411,73
1106,13103,The Celestine Prophecy,8203,James Redfield,3.66,95687,5409,75
1107,12658,Hawaii,7995,James A. Michener,4.2,71700,5408,91
1108,39058,The Gormenghast Novels,22018,Mervyn Peake,3.99,8361,5389,70
1109,2325825,Inkdeath,15873,Cornelia Funke,3.93,75286,5381,75
1110,32499,The Pelican Brief,721,John Grisham,4.01,373963,5379,85
1111,42933,Tai-Pan,6417,James Clavell,4.27,45291,5377,82
1112,25354,Bastard Out of Carolina,5599,Dorothy Allison,4.12,38882,5354,79
1112,17402605,The Alchemyst,27100,Michael Scott,3.84,141478,5354,71
1114,7778981,Halo,696372,Alexandra Adornetto,3.67,64554,5340,75
1115,13539044,The Silver Linings Playbook,1251730,Matthew Quick,3.99,149668,5327,69
1116,11808950,Sweet Evil,4279785,Wendy Higgins,4.09,71887,5313,66
1117,13584236,Fifty Shades Trilogy,4725841,E.L. James,4.11,114250,5293,65
1118,19494,The Spy Who Came In from the Cold,1411964,John le Carré,4.06,77441,5289,86
1119,428263,Eclipse,941441,Stephenie Meyer,3.7,1426439,5281,70
1120,203220,Les Fleurs du Mal,13847,Charles Baudelaire,4.25,49364,5258,71
1121,12172,Memoirs of Hadrian,7732,Marguerite Yourcenar,4.25,19019,5249,66
1122,3711,White Teeth,2522,Zadie Smith,3.77,124514,5243,75
1123,1162543,Breaking Dawn,941441,Stephenie Meyer,3.7,1325760,5240,69
1124,10603,Cujo,3389,Stephen King,3.73,228490,5225,88
1125,4912857,The Angel&#39;s Game,815,Carlos Ruiz Zafón,3.93,116017,5207,64
1126,15842441,Effortless,4372391,S.C. Stephens,4.36,113441,5199,61
1127,1158967,Garden Spells,566874,Sarah Addison Allen,4.06,86826,5195,67
1128,10215349,The Immortal Rules,2995873,Julie Kagawa,4.08,65576,5186,66
1129,40199729,The Heart of Aleppo: A Story of the Syrian Civil War,8442873,Ammar Habib,4.33,5616,5180,52
1130,38343303,Chasing the Red Queen,15998880,Karen Glista,4.27,2066,5179,58
1131,77392,Anne of the Island,5350,L.M. Montgomery,4.23,134728,5163,80
1132,17340050,Losing Hope,5430144,Colleen Hoover,4.34,98588,5159,61
1133,31173,Villette,1036615,Charlotte Brontë,3.77,60196,5157,70
1134,38619,Magic Bites,21748,Ilona Andrews,4.05,104750,5151,67
1135,61535,The Selfish Gene,1194,Richard Dawkins,4.14,140576,5150,65
1136,39925134,Missing Wings: Chronicles of the Aranysargas,15401794,Andrea Luhman,4.33,5191,5144,57
1137,17314430,Wait for You,4476934,Jennifer L. Armentrout,4.17,136341,5136,65
1138,22285,Rant,2546,Chuck Palahniuk,3.82,61532,5135,61
1139,38980,The Princess Diaries,11654,Meg Cabot,3.79,233558,5127,69
1139,5295735,الحرافيش,5835922,Naguib Mahfouz,4.37,13989,5127,54
1141,95693,The Blue Castle,5350,L.M. Montgomery,4.26,29749,5064,57
1142,56034,The French Lieutenant&#39;s Woman,10039,John Fowles,3.87,46687,5061,81
1143,30201299,El Diablo,7233168,M.  Robinson,4.02,11342,5056,51
1144,36116546,America&#39;s Daughter,15198471,Maria Nhambu,4.3,7059,5048,56
1145,40034669,The Octunnumi Fosbit Files Prologue,18002918,Trevor Alan Foris,4.23,8874,5046,58
1146,22354895,Arrangement in Black and White,45235,Fred Misurella,4.33,1738,5041,56
1147,568645,Cross My Heart and Hope to Spy,56224,Ally Carter,4.12,82080,5033,64
1148,337113,The Tenant of Wildfell Hall,8249,Anne Brontë,3.96,89666,4980,70
1149,479309,Naked in Death,17065,J.D. Robb,4.12,167071,4977,65
1150,3393124,Max,3780,James Patterson,4.06,68451,4974,69
1151,538845,Quo Vadis,25619,Henryk Sienkiewicz,4.16,26472,4960,64
1152,7842288,Beautiful Darkness,2895706,Kami Garcia,3.83,124476,4959,71
1153,54775299,The Present,20310792,Kenneth   Thomas,4.84,631,4946,51
1154,12781,The Satanic Verses,3299,Salman Rushdie,3.71,55985,4941,74
1155,18774964,A Man Called Ove,6485178,Fredrik Backman,4.36,570396,4920,58
1155,1715,Metamorphoses,1127,Ovid,4.06,58191,4920,62
1157,46677,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3080,Judith Viorst,4.23,171465,4918,87
1158,76334,A New Earth: Awakening to Your Life&#39;s Purpose,4493,Eckhart Tolle,4.08,158111,4911,64
1159,1971304,City of Thieves,120401,David Benioff,4.28,116818,4910,59
1160,6408862,Stolen: A Letter to My Captor,2903247,Lucy Christopher,3.91,67482,4907,58
1161,7315573,Fall of Giants,3447,Ken Follett,4.28,268500,4897,63
1162,34053,Just So Stories,6989,Rudyard Kipling,4.07,44882,4881,86
1163,130580,Old Yeller,75091,Fred Gipson,4.08,85995,4873,80
1164,40121205,Broken Promises,17076742,Anne  Willow,4.31,6443,4852,54
1165,64216,Guards! Guards!,1654,Terry Pratchett,4.31,165434,4846,69
1166,2364284,أولاد حارتنا,5835922,Naguib Mahfouz,4.11,23178,4840,52
1167,42156,Something Borrowed,13370,Emily Giffin,3.85,507782,4836,64
1168,8705784,Born at Midnight,4154802,C.C. Hunter,4.12,82024,4830,64
1169,68427,Elantris,38550,Brandon Sanderson,4.18,176540,4822,58
1170,68210,Gilead,7491,Marilynne Robinson,3.85,80393,4819,67
1171,493456,Extras,13957,Scott Westerfeld,3.59,104046,4817,65
1172,175675,Ragtime,12584,E.L. Doctorow,3.88,37903,4803,78
1173,68494,Perdido Street Station,33918,China Miéville,3.96,60721,4795,57
1174,407813,The Blue Sword,5339,Robin McKinley,4.19,57764,4794,65
1175,6604794,The Sky Is Everywhere,2982266,Jandy Nelson,3.99,90933,4793,56
1176,827,"The Diamond Age: Or, A Young Lady&#39;s Illustrated Primer",545,Neal Stephenson,4.17,83302,4792,57
1177,46306,The Complete Fairy Tales,6378,Hans Christian Andersen,4.28,116139,4791,82
1178,76527,"The Life and Opinions of Tristram Shandy, Gentleman",22796,Laurence Sterne,3.74,19133,4787,65
1179,12716010,Rapture,2905297,Lauren Kate,4.01,103005,4782,68
1180,4952,What Is the What,3371,Dave Eggers,4.16,75410,4764,60
1181,22288,Haunted,2546,Chuck Palahniuk,3.58,92868,4763,59
1182,1412138,Iron Kissed,40563,Patricia Briggs,4.36,107300,4761,67
1183,2612,The Tipping Point: How Little Things Can Make a Big Difference,1439,Malcolm Gladwell,3.97,690656,4754,69
1184,23395680,Illuminae,5360335,Amie Kaufman,4.28,113916,4743,55
1185,4921,Three Men in a Boat,3352,Jerome K. Jerome,3.88,55843,4739,69
1186,2832909,An Echo in the Bone,3617,Diana Gabaldon,4.44,117624,4711,59
1187,331319,An American Tragedy,8987,Theodore Dreiser,3.95,31891,4708,73
1187,7849341,Tiger&#39;s Voyage,3097905,Colleen Houck,4.33,31171,4708,56
1189,27362503,It Ends with Us,5430144,Colleen Hoover,4.4,212779,4707,53
1190,2321296,Ink Exchange,175855,Melissa Marr,3.68,57779,4705,69
1190,41899,Fantastic Beasts and Where to Find Them,19981845,Newt Scamander,3.98,330706,4705,71
1192,13376,The House of the Scorpion,8360,Nancy Farmer,4.09,78790,4703,55
1193,34084,The Waste Lands,3389,Stephen King,4.23,186471,4699,65
1193,13328554,The Pandarus File,4868409,Kyle Keyes,4.43,2863,4699,52
1195,30672,Darkness at Noon,17219,Arthur Koestler,4.04,26249,4670,60
1196,42603,Black Like Me,16652,John Howard Griffin,4.12,60958,4669,80
1197,6609765,Out of My Mind,51942,Sharon M. Draper,4.37,111083,4662,54
1198,40669887,Cheaper by the Dozen,3429453,Frank B. Gilbreth Jr.,4.01,37572,4653,83
1199,29641,The End of the Affair,2533,Graham Greene,3.92,52130,4649,68
1200,26157586,Toe to Toe,36521,Deborah Leblanc,4.33,5662,4627,51
1201,113304,The Thief Lord,15873,Cornelia Funke,3.96,87130,4620,64
1202,12893742,The Serpent&#39;s Shadow,15872,Rick Riordan,4.28,123203,4603,61
1203,767680,If You Give a Mouse a Cookie,87184,Laura Joffe Numeroff,4.26,251190,4584,77
1204,389627,Diary of a Wimpy Kid,221559,Jeff Kinney,3.99,446912,4574,58
1205,1768603,The White Tiger,810254,Aravind Adiga,3.74,157218,4567,59
1206,1895792,The Fury / Dark Reunion,50873,L.J. Smith,3.74,56894,4566,66
1207,27323,Hiroshima,15328,John Hersey,3.98,60678,4555,73
1208,49041,New Moon,941441,Stephenie Meyer,3.54,1468420,4552,59
1209,36578942,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,3222554,Jonas Jonasson,3.82,214161,4549,56
1210,4796,The Winter of Our Discontent,585,John Steinbeck,4.0,38214,4547,70
1211,227651,Among the Hidden,14617,Margaret Peterson Haddix,3.98,111957,4539,61
1212,17347389,The Dream Thieves,1330292,Maggie Stiefvater,4.23,148750,4531,53
1213,95558,Solaris,10991,Stanisław Lem,3.99,72897,4521,60
1214,5152478,Wintergirls,10003,Laurie Halse Anderson,3.97,107612,4520,57
1215,429138,River God,4043,Wilbur Smith,4.2,34198,4519,58
1216,44659,Pawn of Prophecy,8732,David Eddings,4.14,94968,4517,58
1217,270807,Burned,2821144,Ellen Hopkins,4.25,57401,4492,53
1217,412732,The Dharma Bums,1742,Jack Kerouac,3.91,84453,4492,60
1219,43015,A Long Way Gone: Memoirs of a Boy Soldier,24189,Ishmael Beah,4.16,163379,4475,61
1219,233649,The Great Hunt,6252,Robert Jordan,4.22,228257,4475,62
1219,567704,Imajica,10366,Clive Barker,4.17,20585,4475,54
1222,10194514,Pushing the Limits,4575371,Katie McGarry,4.06,114168,4467,51
1223,517188,The Prime of Miss Jean Brodie,13093,Muriel Spark,3.74,42671,4463,74
1224,3428935,The Warded Man,1405152,Peter V. Brett,4.24,109013,4462,50
1225,40792344,Mere Christianity,1069006,C.S. Lewis,4.32,299856,4461,57
1226,38501,Ham on Rye,13275,Charles Bukowski,4.14,83608,4456,53
1227,261122,The Dead Girls&#39; Dance,15292,Rachel Caine,4.05,54548,4447,67
1228,12812550,Days of Blood &amp; Starlight,324620,Laini Taylor,4.15,139163,4446,55
1229,23513349,Milk and Honey,8075577,Rupi Kaur,4.07,346231,4439,50
1230,13530588,China Blues,286014,Ki Longfellow,4.11,1355,4435,48
1231,17717,Labyrinths:  Selected Stories and Other Writings,500,Jorge Luis Borges,4.46,27603,4429,56
1232,270805,Impulse,2821144,Ellen Hopkins,4.27,69670,4428,52
1233,13639050,Gabriel&#39;s Rapture,4562483,Sylvain Reynard,4.22,108655,4410,54
1234,36510196,Old Man&#39;s War,4763,John Scalzi,4.22,161880,4407,55
1235,22206,Lullaby,2546,Chuck Palahniuk,3.73,91655,4406,57
1236,42447688,The Scopas Factor,1224740,Vincent Panettiere,4.3,1060,4398,50
1237,40874032,Vicious,7168230,V.E. Schwab,4.21,104524,4397,50
1238,4070493,Need,345630,Carrie Jones,3.72,60691,4392,61
1239,82192,The Crystal Cave,15590,Mary  Stewart,4.13,41847,4391,65
1240,5821978,The Summer I Turned Pretty,151371,Jenny Han,3.92,152204,4390,53
1241,10626594,The Scorpio Races,1330292,Maggie Stiefvater,4.07,97996,4389,54
1242,26032825,The Cruel Prince,25422,Holly Black,4.12,217391,4387,48
1243,4894,Who Moved My Cheese?,3340,Spencer Johnson,3.82,367416,4380,57
1243,21611,The Forever War,12476,Joe Haldeman,4.14,139631,4380,58
1245,10204213,The Traitor&#39;s Emblem,364872,Juan Gomez-Jurado,3.83,2511,4373,44
1246,36809135,Where the Crawdads Sing,7043934,Delia Owens,4.47,982215,4369,50
1247,18452,The Painted Bird,11121,Jerzy Kosiński,3.92,21217,4366,60
1248,5267365,Don&#39;t Judge a Girl by Her Cover,56224,Ally Carter,4.2,64730,4357,58
1249,51019,Cat&#39;s Eye,3472,Margaret Atwood,3.92,59841,4355,64
1249,21348,Aesop&#39;s Fables,12452,Aesop,4.05,114251,4355,75
1249,597790,The Children of Húrin,656983,J.R.R. Tolkien,3.96,66871,4355,58
1252,33724,Can You Keep a Secret?,6160,Sophie Kinsella,3.84,377250,4354,57
1253,48464,A Good Man is Hard to Find and Other Stories,22694,Flannery O&#39;Connor,4.21,38820,4348,66
1254,14554,If Tomorrow Comes,9068,Sidney Sheldon,4.04,61353,4333,56
1254,17617277,Real,6997072,Katy Evans,4.19,100194,4333,53
1256,23164983,Hollow City,3046613,Ransom Riggs,4.05,198735,4330,56
1257,91203,Three Comrades,4116,Erich Maria Remarque,4.49,24697,4309,53
1258,321645,Kissed by an Angel/The Power of Love/Soulmates,53574,Elizabeth Chandler,4.08,25339,4306,56
1259,38743,All Things Bright and Beautiful,18062,James Herriot,4.31,66702,4299,70
1260,15575,The Sword of Shannara,9629,Terry Brooks,3.75,86567,4285,60
1261,56759,The Mayor of Casterbridge,15905,Thomas Hardy,3.83,54340,4284,73
1262,13497818,The Casual Vacancy,1077326,J.K. Rowling,3.3,303174,4273,53
1263,49455,Notes from Underground,3137322,Fyodor Dostoyevsky,4.15,84030,4264,49
1264,213753,Life As We Knew It,1318,Susan Beth Pfeffer,3.89,113603,4263,58
1265,9539,The Shadow Rising,6252,Robert Jordan,4.23,172732,4258,59
1266,6507691,The Manufactured Identity,2918488,Heath Sommer,3.51,414,4256,43
1267,147915,A Storm of Swords: Blood and Gold,346732,George R.R. Martin,4.52,82054,4255,56
1268,78129,Killing Floor,5091,Lee Child,4.05,249735,4250,57
1269,7905092,Freedom,2578,Jonathan Franzen,3.76,150363,4245,52
1270,95617,A Voice in the Wind,6492,Francine Rivers,4.56,75122,4242,51
1271,9915,Less Than Zero,2751,Bret Easton Ellis,3.56,72830,4239,51
1272,7278752,Dolores Claiborne,3389,Stephen King,3.87,126512,4237,67
1273,9659607,The Iron Knight,2995873,Julie Kagawa,4.2,77775,4224,53
1274,6339989,Vampire Academy Collection,137902,Richelle Mead,4.61,33731,4217,58
1275,133430,Centennial,7995,James A. Michener,4.24,39102,4212,63
1276,37186,The Miraculous Journey of Edward Tulane,13663,Kate DiCamillo,4.37,80964,4206,52
1277,34517,Reaper Man,1654,Terry Pratchett,4.27,83582,4202,59
1278,32585,Hunger,18317,Knut Hamsun,4.05,42493,4193,51
1279,5954,Narcissus and Goldmund,1113469,Hermann Hesse,4.21,45442,4191,53
1280,112537,Rendezvous with Rama,7779,Arthur C. Clarke,4.1,133875,4184,54
1281,15731779,Entwined with You,19823,Sylvia Day,4.19,179148,4182,53
1282,7572,Even Cowgirls Get the Blues,197,Tom Robbins,3.76,49508,4179,68
1282,24830,The Illustrated Man,1630,Ray Bradbury,4.13,79546,4179,66
1284,6708,The Power of Now: A Guide to Spiritual Enlightenment,4493,Eckhart Tolle,4.13,211336,4178,52
1285,5695,Demons,3137322,Fyodor Dostoyevsky,4.28,37362,4173,49
1286,27208,The Third Policeman,15248,Flann O&#39;Brien,4.0,16171,4150,54
1286,13312527,The Opportunist,5410816,Tarryn Fisher,4.21,48651,4150,45
1288,19117,Fathers and Sons,410680,Ivan Turgenev,3.96,69439,4148,53
1289,284440,Skulduggery Pleasant,165168,Derek Landy,4.13,55320,4147,48
1290,25701594,Complicate Me,7233168,M.  Robinson,4.02,9517,4146,42
1291,50365,A Suitable Boy,28345,Vikram Seth,4.12,42185,4145,52
1291,540020,The Day of the Jackal,36714,Frederick Forsyth,4.26,117957,4145,60
1293,8520610,Quiet: The Power of Introverts in a World That Can&#39;t Stop Talking,4101935,Susan Cain,4.06,324552,4143,51
1293,44274121,The Shadow Girl,15569092,Misty Mount,4.29,3552,4143,47
1295,7933292,Heaven is for Real: A Little Boy&#39;s Astounding Story of His Trip to Heaven and Back,3446736,Todd Burpo,4.02,277222,4141,57
1296,5166,Midwives,3509,Chris Bohjalian,3.99,150759,4122,67
1297,2479827,"Eragon, Eldest &amp; Brisingr",8349,Christopher Paolini,4.23,32166,4121,65
1298,8073,Cloudy With a Chance of Meatballs,5336,Judi Barrett,4.16,130520,4118,62
1299,68783,"Girl, Interrupted",4376,Susanna Kaysen,3.9,180753,4116,57
1300,15812814,Crossed,1304470,Ally Condie,3.52,211264,4114,55
1301,431,The New York Trilogy,296961,Paul Auster,3.88,61874,4112,51
1302,331920,Flipped,12950,Wendelin Van Draanen,3.95,97029,4095,52
1303,23754,Preludes &amp; Nocturnes,1221698,Neil Gaiman,4.23,210836,4091,58
1304,17803,After Dark,3354,Haruki Murakami,3.71,110301,4088,49
1305,12432220,The False Prince,3267859,Jennifer A. Nielsen,4.19,75794,4074,45
1306,27252,Pope Joan,44605,Donna Woolfolk Cross,4.07,65398,4072,54
1307,7742,"Ahab&#39;s Wife, or The Star-Gazer",5234,Sena Jeter Naslund,4.03,42809,4071,53
1307,22242097,Honor and Polygamy,8189303,Omar Farhad,4.24,156,4071,43
1309,30186948,Think and Grow Rich,399,Napoleon Hill,4.18,218352,4067,50
1310,17184,The Invisible Man,880695,H.G. Wells,3.64,145798,4065,62
1311,139069,Endurance: Shackleton&#39;s Incredible Voyage,29034,Alfred Lansing,4.39,84919,4061,54
1312,20758103,The Ask and the Answer,370361,Patrick Ness,4.2,73409,4060,47
1313,714902,Noughts &amp; Crosses,172977,Malorie Blackman,4.23,50670,4057,47
1314,43933,Tell No One,24689,Harlan Coben,4.11,119793,4055,54
1315,38210,The Art of Happiness,570218,Dalai Lama XIV,4.16,93349,4039,62
1316,69136,The Book of Lost Things,38951,John Connolly,3.95,68815,4037,52
1317,49540,Les Liaisons dangereuses,1288026,Pierre Choderlos de Laclos,4.07,43464,4036,56
1318,15753740,The Storyteller,7128,Jodi Picoult,4.27,173354,4035,47
1319,7826803,Wolf Hall,58851,Hilary Mantel,3.88,166513,4033,56
1320,676737,Grendel,481146,John Gardner,3.69,32317,4020,59
1321,71865,"Tomorrow, When the War Began",28756,John Marsden,4.05,48321,4015,47
1322,19534,The Brothers K,11700,David James Duncan,4.38,13928,4010,48
1323,15858248,Wallbanger,3379564,Alice Clayton,4.05,176614,4008,51
1324,40881903,Unparalleled,18243438,D.S.   Smith,4.29,5904,4003,45
1325,51476294,Adhaata Asao&#39;s Liege,20041521,Afroz  Alam,4.76,116,3998,40
1326,23316548,The Book of Negroes,20411,Lawrence Hill,4.46,73280,3996,49
1327,28381,Dead Souls,232932,Nikolai Gogol,3.97,65993,3990,57
1328,13628209,The Boy Who Sneaks in My Bedroom Window,5434809,Kirsty Moseley,3.91,64738,3989,44
1329,111450,Quidditch Through the Ages,57990,Kennilworthy Whisp,3.84,146083,3973,60
1330,11553,Boy&#39;s Life,5244478,Robert R. McCammon,4.36,26251,3969,49
1330,18386,The Death of Ivan Ilych,128382,Leo Tolstoy,4.08,93617,3969,51
1332,35504431,Turtles All the Way Down,1406384,John Green,3.95,315080,3962,46
1333,285205,Blood Bound,40563,Patricia Briggs,4.31,111672,3954,59
1334,40603587,The Last Wish,38569,Andrzej Sapkowski,4.13,191768,3947,44
1335,35642518,For the Love of Armin,15015247,Michael G. Kramer,4.32,1479,3946,43
1336,6479550,Magic Bleeds,21748,Ilona Andrews,4.45,71034,3945,50
1337,29056083,Harry Potter and the Cursed Child: Parts One and Two,5042201,John Tiffany,3.62,702964,3942,51
1338,1379961,People of the Book,211268,Geraldine Brooks,4.02,123348,3941,58
1339,16160797,The Cuckoo&#39;s Calling,383606,Robert Galbraith,3.86,482651,3934,46
1340,20758105,Monsters of Men,370361,Patrick Ness,4.24,66636,3931,45
1341,35133922,Educated,16121977,Tara Westover,4.46,799848,3922,43
1342,89959,The Constitution of the United States of America,1048676,Founding Fathers,4.54,24653,3917,59
1343,106085,Masquerade,21911,Melissa de la Cruz,3.91,86424,3916,57
1344,28251,The High Lord,15890,Trudi Canavan,4.12,51439,3906,49
1345,9462812,Die for Me,3353516,Amy Plum,3.98,53148,3899,49
1346,12543,Bird by Bird: Some Instructions on Writing and Life,7113,Anne Lamott,4.23,78268,3897,59
1346,38500,Women,13275,Charles Bukowski,3.85,63583,3897,49
1348,18126198,Four: A Divergent Story Collection,4039811,Veronica Roth,4.04,161126,3893,50
1349,35167685,"&quot;Surely You&#39;re Joking, Mr. Feynman!&quot;: Adventures of a Curious Character",1429989,Richard P. Feynman,4.27,157081,3888,49
1350,11559200,Shadow of Night,3849415,Deborah Harkness,4.05,181810,3874,50
1351,3128411,Bone Crossed,40563,Patricia Briggs,4.34,96335,3861,55
1352,22918050,The Heir,2987125,Kiera Cass,3.78,210077,3856,47
1353,25300956,Royal Assassin,25307,Robin Hobb,4.22,150686,3854,47
1354,6950688,Only the Good Spy Young,56224,Ally Carter,4.29,60440,3845,51
1355,10611,The Eyes of the Dragon,3389,Stephen King,3.93,105333,3838,61
1356,10073506,"Tinker, Tailor, Soldier, Spy",1411964,John le Carré,4.04,73650,3828,59
1357,1166599,The Gathering Storm,6252,Robert Jordan,4.36,127982,3827,53
1358,41742807,Archibald Finch and the Lost Witches,18398151,Michel Guyon,4.26,262,3812,39
1359,1829709,The Final Warning,3780,James Patterson,3.86,65488,3807,54
1360,9961796,Lola and the Boy Next Door,3095893,Stephanie Perkins,3.95,147731,3802,45
1361,9822,Mrs. Frisby and the Rats of NIMH,6412,Robert C. O&#39;Brien,4.14,164370,3798,64
1362,16243767,Crossing the Seas: A Diary of My Thoughts,6621980,Yuehai Xiao,4.04,223,3797,38
1362,33516773,Big Little Lies,322069,Liane Moriarty,4.27,748917,3797,45
1364,13148,Kiss the Girls,3780,James Patterson,3.97,313515,3784,57
1365,5367,The Great Book of Amber,3619,Roger Zelazny,4.3,24126,3783,47
1366,6431790,Fang,3780,James Patterson,4.06,56327,3782,53
1367,8492319,Lover Unleashed,20248,J.R. Ward,4.28,84681,3780,55
1368,16527,Daughter of Fortune,2238,Isabel Allende,3.9,115372,3779,59
1369,12842828,Keeper of the Lost Cities,5265998,Shannon Messenger,4.46,30228,3778,41
1370,38230320,Hometown Girl at Heart,7922460,Kirsten Fullmer,4.29,4557,3775,41
1371,4271,About a Boy,2929,Nick Hornby,3.79,125833,3764,59
1372,12513614,Captive in the Dark,5174152,C.J. Roberts,3.98,66572,3756,44
1373,23174274,Glass Sword,7074943,Victoria Aveyard,3.88,198076,3748,43
1374,11650,American Pastoral,463,Philip Roth,3.92,65120,3746,55
1375,52640,Weaveworld,10366,Clive Barker,4.13,28369,3743,50
1376,28249,The Magicians&#39; Guild,15890,Trudi Canavan,3.94,72478,3740,48
1377,67920,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,38301,Flora Rheta Schreiber,3.99,83605,3737,67
1378,13158800,The Light Between Oceans,5755257,M.L. Stedman,4.03,397741,3735,44
1379,3819326,Angels&#39; Blood,71688,Nalini Singh,4.09,76437,3731,50
1379,607639,The Beach,5684,Alex Garland,3.94,74083,3731,46
1381,119829,The Sunne in Splendour,24655,Sharon Kay Penman,4.38,19804,3727,46
1382,16181775,The Rosie Project,1895943,Graeme Simsion,4.02,448144,3724,42
1383,19351,The Epic of Gilgamesh,5158478,Anonymous,3.7,80574,3720,60
1384,37380,The Heart Is a Lonely Hunter,3506,Carson McCullers,3.98,92802,3718,46
1385,15842439,Warm Bodies,1302285,Isaac Marion,3.92,99203,3713,45
1386,420404,Yertle the Turtle and Other Stories,61105,Dr. Seuss,4.15,32962,3712,62
1387,17349,The Demon-Haunted World: Science as a Candle in the Dark,10538,Carl Sagan,4.27,59111,3701,42
1388,13033,The Alexandria Quartet,8166,Lawrence Durrell,4.17,11175,3700,50
1389,43330,Master of the Game,9068,Sidney Sheldon,4.12,50799,3698,46
1390,34494,The Wee Free Men,1654,Terry Pratchett,4.26,94410,3694,52
1391,822989,"My Story: &quot;A Child Called It&quot;, &quot;The Lost Boy&quot;, &quot;A Man Named Dave&quot;",1881,Dave Pelzer,4.21,10709,3692,56
