list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes
77,39988,Matilda,4273,Roald Dahl,4.32,649002,340917,3800
78,3263607,The Fellowship of the Ring,656983,J.R.R. Tolkien,4.36,2358217,339521,3823
79,2429135,The Girl with the Dragon Tattoo,706255,Stieg Larsson,4.14,2610643,338674,3783
80,17899948,Rebecca,2001717,Daphne du Maurier,4.23,452366,332723,3738
81,40961427,1984,3706,George Orwell,4.19,3145837,325816,3559
82,52892857,The Color Purple,7380,Alice Walker,4.22,522004,319577,3633
83,14891,A Tree Grows in Brooklyn,2327917,Betty  Smith,4.27,388872,309778,3410
84,41817486,A Clockwork Orange,5735,Anthony Burgess,3.99,601643,303128,3415
85,6288,The Road,4178,Cormac McCarthy,3.97,717050,300755,3299
86,4934,The Brothers Karamazov,3137322,Fyodor Dostoyevsky,4.32,243634,300090,3317
87,252577,Angela&#39;s Ashes,3347,Frank McCourt,4.11,540216,290485,3242
88,345627,Vampire Academy,137902,Richelle Mead,4.12,549712,277803,2986
89,52036,Siddhartha,1113469,Hermann Hesse,4.03,583616,273206,3049
90,7244,The Poisonwood Bible,3541,Barbara Kingsolver,4.06,659273,271161,2977
91,119322,The Golden Compass,3618,Philip Pullman,3.99,1285676,257818,2887
92,3836,Don Quixote,4037220,Miguel de Cervantes Saavedra,3.88,210002,254015,2895
93,662,Atlas Shrugged,432,Ayn Rand,3.69,354064,248484,2730
94,5,Harry Potter and the Prisoner of Azkaban,1077326,J.K. Rowling,4.57,2811681,248193,2776
95,2165,The Old Man and the Sea,1455,Ernest Hemingway,3.78,832429,235628,2730
96,33648131,The Notebook,2345,Nicholas Sparks,4.11,1332560,228544,2581
97,99107,Winnie-the-Pooh,81466,A.A. Milne,4.34,270699,219411,2585
98,23919,The Complete Stories and Poems,4624490,Edgar Allan Poe,4.38,220438,218396,2534
99,43763,Interview with the Vampire,7577,Anne Rice,4.0,485321,208415,2388
100,4473,A Prayer for Owen Meany,3075,John Irving,4.23,286148,207334,2281
101,153747,"Moby-Dick or, the Whale",1624,Herman Melville,3.51,479399,202669,2346
102,4989,The Red Tent,626222,Anita Diamant,4.18,520759,181001,2025
103,37435,The Secret Life of Bees,4711,Sue Monk Kidd,4.06,1117606,179134,2051
104,6,Harry Potter and the Goblet of Fire,1077326,J.K. Rowling,4.56,2598786,178933,2049
105,7171637,Clockwork Angel,150038,Cassandra Clare,4.32,667473,174721,1924
106,1,Harry Potter and the Half-Blood Prince,1077326,J.K. Rowling,4.57,2441364,162898,1890
107,16299,And Then There Were None,123715,Agatha Christie,4.26,824374,161580,1877
108,2187,Middlesex,1467,Jeffrey Eugenides,4.01,581604,156902,1752
109,49552,The Stranger,957894,Albert Camus,3.98,707518,156026,1791
110,117833,The Master and Margarita,3873,Mikhail Bulgakov,4.29,243169,151649,1656
111,186074,The Name of the Wind,108424,Patrick Rothfuss,4.53,717266,151410,1606
112,11588,The Shining,3389,Stephen King,4.23,1128833,150214,1769
113,24583,The Adventures of Tom Sawyer,1244,Mark Twain,3.91,759093,147006,1806
114,113436,Eragon,8349,Christopher Paolini,3.9,1438737,145002,1656
115,6310,Charlie and the Chocolate Factory,4273,Roald Dahl,4.14,665659,143701,1718
116,36576608,Flowers for Algernon,11072,Daniel Keyes,4.14,478952,142450,1657
117,70401,On the Road,1742,Jack Kerouac,3.62,349264,140738,1595
118,485894,The Metamorphosis,5223,Franz Kafka,3.82,644482,140151,1650
119,99561,Looking for Alaska,1406384,John Green,4.02,1114576,139938,1534
120,1232,The Shadow of the Wind,815,Carlos Ruiz Zafón,4.27,463313,139091,1538
121,1618,The Curious Incident of the Dog in the Night-Time,1050,Mark Haddon,3.88,1192926,138457,1594
122,4948,The Very Hungry Caterpillar,3362,Eric Carle,4.3,396619,137241,1601
123,6900,Tuesdays with Morrie,2331,Mitch Albom,4.11,783300,135685,1553
124,9717,The Unbearable Lightness of Being,6343,Milan Kundera,4.1,342201,135422,1520
125,119073,The Name of the Rose,1730,Umberto Eco,4.12,301606,132506,1537
126,10365,Where the Red Fern Grows,6810,Wilson Rawls,4.08,342509,131268,1528
127,15881,Harry Potter and the Chamber of Secrets,1077326,J.K. Rowling,4.43,2730682,130760,1568
128,22034,The Godfather,12605,Mario Puzo,4.36,335278,128488,1519
129,12296,The Scarlet Letter,7799,Nathaniel Hawthorne,3.41,706972,128261,1597
130,168642,In Cold Blood,431149,Truman Capote,4.07,530128,125917,1494
131,36236124,Fight Club,2546,Chuck Palahniuk,4.19,499357,125348,1445
132,3431,The Five People You Meet in Heaven,2331,Mitch Albom,3.94,578657,125029,1441
133,6339664,"Hush, Hush",2876763,Becca Fitzpatrick,3.96,574332,124749,1379
134,233093,The Cat in the Hat,61105,Dr. Seuss,4.17,428579,120396,1483
135,7126,The Count of Monte Cristo,4785,Alexandre Dumas,4.25,747326,120027,1382
136,30165203,American Gods,1221698,Neil Gaiman,4.11,759570,119896,1358
