id,title,list_placement,author_id,author,pages,date,series,avg_rating,ratings,list_score,list_votes
149267,The Stand,66,3389,Stephen King,1153,1978,False,4.34,617013,392082,4244
3590,The Adventures of Sherlock Holmes,67,2448,Arthur Conan Doyle,389,1892,True,4.3,243522,376310,4220
76620,Watership Down,68,7717,Richard  Adams,478,1972,True,4.06,434202,371187,4058
2623,Great Expectations,69,239579,Charles Dickens,505,1861,False,3.78,652278,367608,4227
1934,Little Women,70,1315,Louisa May Alcott,449,1868,True,4.09,1683588,355588,4071
136251,Harry Potter and the Deathly Hallows,71,1077326,J.K. Rowling,759,2007,True,4.62,2815406,352603,3848
6514,The Bell Jar,72,4379,Sylvia Plath,294,1963,False,4.01,592117,351706,3862
332613,One Flew Over the Cuckoo's Nest,73,7285,Ken Kesey,325,1962,False,4.19,631595,350968,3976
15823480,Anna Karenina,74,128382,Leo Tolstoy,964,1877,False,4.05,682792,348541,3819
10964,Outlander,75,3617,Diana Gabaldon,850,1991,True,4.23,825463,342221,3663
10917,My Sister's Keeper,76,7128,Jodi Picoult,423,2004,False,4.08,1057526,340938,3753
39988,Matilda,77,4273,Roald Dahl,240,1988,False,4.32,649002,340917,3800
3263607,The Fellowship of the Ring,78,656983,J.R.R. Tolkien,527,1954,True,4.36,2358217,339521,3823
2429135,The Girl with the Dragon Tattoo,79,706255,Stieg Larsson,465,2005,True,4.14,2610643,338674,3783
17899948,Rebecca,80,2001717,Daphne du Maurier,449,1938,False,4.23,452366,332723,3738
40961427,1984,81,3706,George Orwell,237,1949,False,4.19,3145837,325816,3559
52892857,The Color Purple,82,7380,Alice Walker,304,1982,True,4.22,522004,319577,3633
14891,A Tree Grows in Brooklyn,83,2327917,Betty  Smith,496,1943,False,4.27,388872,309778,3410
41817486,A Clockwork Orange,84,5735,Anthony Burgess,240,1962,False,3.99,601643,303128,3415
6288,The Road,85,4178,Cormac McCarthy,241,2006,False,3.97,717050,300755,3299
4934,The Brothers Karamazov,86,3137322,Fyodor Dostoyevsky,796,1879,True,4.32,243634,300090,3317
252577,Angela's Ashes,87,3347,Frank McCourt,452,1996,True,4.11,540216,290485,3242
345627,Vampire Academy,88,137902,Richelle Mead,332,2007,True,4.12,549712,277803,2986
52036,Siddhartha,89,1113469,Hermann Hesse,152,1922,False,4.03,583616,273206,3049
7244,The Poisonwood Bible,90,3541,Barbara Kingsolver,546,1998,False,4.06,659273,271161,2977
119322,The Golden Compass,91,3618,Philip Pullman,399,1995,True,3.99,1285676,257818,2887
3836,Don Quixote,92,4037220,Miguel de Cervantes Saavedra,1023,1605,False,3.88,210002,254015,2895
662,Atlas Shrugged,93,432,Ayn Rand,1168,1957,False,3.69,354064,248484,2730
5,Harry Potter and the Prisoner of Azkaban,94,1077326,J.K. Rowling,435,1999,True,4.57,2811681,248193,2776
2165,The Old Man and the Sea,95,1455,Ernest Hemingway,96,1952,False,3.78,832429,235628,2730
33648131,The Notebook,96,2345,Nicholas Sparks,227,1996,True,4.11,1332560,228544,2581
99107,Winnie-the-Pooh,97,81466,A.A. Milne,145,1926,True,4.34,270699,219411,2585
23919,The Complete Stories and Poems,98,4624490,Edgar Allan Poe,821,1849,False,4.38,220438,218396,2534
43763,Interview with the Vampire,99,7577,Anne Rice,342,1976,True,4.0,485321,208415,2388
4473,A Prayer for Owen Meany,100,3075,John Irving,637,1989,False,4.23,286148,207334,2281
153747,"Moby-Dick or, the Whale",101,1624,Herman Melville,654,1851,False,3.51,479399,202669,2346
4989,The Red Tent,102,626222,Anita Diamant,324,1997,False,4.18,520759,181001,2025
37435,The Secret Life of Bees,103,4711,Sue Monk Kidd,302,2001,False,4.06,1117606,179134,2051
6,Harry Potter and the Goblet of Fire,104,1077326,J.K. Rowling,734,2000,True,4.56,2598786,178933,2049
7171637,Clockwork Angel,105,150038,Cassandra Clare,481,2010,True,4.32,667473,174721,1924
1,Harry Potter and the Half-Blood Prince,106,1077326,J.K. Rowling,652,2005,True,4.57,2441364,162898,1890
16299,And Then There Were None,107,123715,Agatha Christie,264,1939,False,4.26,824374,161580,1877
2187,Middlesex,108,1467,Jeffrey Eugenides,529,2002,False,4.01,581604,156902,1752
49552,The Stranger,109,957894,Albert Camus,123,1942,False,3.98,707518,156026,1791
117833,The Master and Margarita,110,3873,Mikhail Bulgakov,335,1967,False,4.29,243169,151649,1656
186074,The Name of the Wind,111,108424,Patrick Rothfuss,662,2007,True,4.53,717266,151410,1606
11588,The Shining,112,3389,Stephen King,659,1977,True,4.23,1128833,150214,1769
24583,The Adventures of Tom Sawyer,113,1244,Mark Twain,244,1876,True,3.91,759093,147006,1806
113436,Eragon,114,8349,Christopher Paolini,503,2002,True,3.9,1438737,145002,1656
6310,Charlie and the Chocolate Factory,115,4273,Roald Dahl,176,1964,True,4.14,665659,143701,1718
